wage_month,region,head,sex,age,married,schooling,position,economictype,ky hop dong lao dong?,huong luong ngay nghi,huong BHXH,co lam viec khac,urban,Kinh,household_size,poor,houses,pay_rent,other_land/house,wealthindex,t_quantity durables,t_value durables
3500,region4,1,male,47,1,3,position6,economictype4,2,2,2,2,1,1,4,0,1,0,0,130,24,52564
3600,region2,0,female,19,1,9,position4,economictype3,1,1,1,2,0,1,5,0,1,0,0,125,9,8500
3600,region2,0,female,18,0,5,position6,economictype4,2,2,2,1,0,0,7,0,1,0,0,60,8,8910
5000,region5,1,male,45,1,4,position6,economictype4,2,2,2,2,0,0,5,0,1,0,0,70,17,18430
6000,region4,1,male,37,1,17,position2,economictype2,1,1,1,2,1,1,4,0,1,0,0,140,20,367370
2860,region1,1,male,35,1,12,position4,economictype4,2,2,2,1,0,1,5,0,1,0,0,110,28,25240
2300,region2,0,female,21,1,15,position2,economictype2,1,2,2,2,1,1,5,0,1,0,1,170,29,77200
2000,region1,0,female,50,1,9,position4,economictype4,2,2,2,1,0,1,4,0,1,0,0,150,20,19800
4000,region4,0,female,29,1,12,position6,economictype1,2,2,2,2,1,4,11,0,1,0,0,180,30,69600
2500,region3,0,female,19,0,12,position6,economictype4,2,2,2,2,0,1,7,0,1,0,0,115,5,19650
6000,region4,0,female,38,1,16,position2,economictype2,1,1,1,2,0,1,4,0,1,0,0,150,22,60060
3300,region4,0,male,56,1,13,position4,economictype2,1,1,1,2,0,1,3,0,1,0,0,145,21,36250
2500,region1,0,female,31,1,15,position2,economictype2,2,1,1,2,1,1,7,0,1,0,0,140,27,38300
3600,region4,0,female,49,1,5,position4,economictype1,1,1,1,2,0,1,2,0,1,1,0,150,7,7300
1370,region6,1,male,37,1,12,position5,economictype2,2,1,1,1,0,1,4,0,1,0,0,130,17,43590
3500,region4,0,female,29,1,12,position6,economictype3,2,1,2,2,1,1,4,0,1,0,0,130,23,67530
4800,region3,1,female,42,1,11,position5,economictype2,1,1,1,1,0,1,5,0,1,0,0,130,25,71220
1600,region1,0,female,18,0,9,position4,economictype4,2,2,2,1,0,1,5,0,1,0,0,105,19,14770
